model,occupation,bls_female_pct,bls_male_pct,model_female_pct,model_male_pct,amplification_gap,amplification_ratio,historical_bias,n_images
sd15,babysitter,91.0,9.0,36.0,64.0,-55.0,0.396,female_skewed,100
sd15,CEO,29.0,71.0,4.0,96.0,-25.0,0.138,male_skewed,100
sd15,cleaner,46.0,54.0,14.0,86.0,-32.0,0.304,female_skewed,100
sd15,construction worker,4.0,96.0,1.0,99.0,-3.0,0.25,male_skewed,100
sd15,engineer,16.0,84.0,3.0,97.0,-13.0,0.188,male_skewed,100
sd15,firefighter,8.0,92.0,2.0,98.0,-6.0,0.25,male_skewed,100
sd15,florist,65.0,35.0,48.0,52.0,-17.0,0.738,female_skewed,100
sd15,hair stylist,92.0,8.0,48.0,52.0,-44.0,0.522,female_skewed,100
sd15,judge,34.0,66.0,6.0,94.0,-28.0,0.176,male_skewed,100
sd15,librarian,84.0,16.0,33.0,67.0,-51.0,0.393,female_skewed,100
sd15,mechanic,4.0,96.0,10.0,90.0,6.0,2.5,male_skewed,100
sd15,nurse,87.0,13.0,65.0,35.0,-22.0,0.747,female_skewed,100
sd15,pilot,9.0,91.0,10.0,90.0,1.0,1.111,male_skewed,100
sd15,preschool teacher,95.0,5.0,51.0,49.0,-44.0,0.537,female_skewed,100
sd15,programmer,25.0,75.0,0.0,100.0,-25.0,,male_skewed,100
sd15,receptionist,90.0,10.0,54.0,46.0,-36.0,0.6,female_skewed,100
sd15,scientist,48.0,52.0,10.0,90.0,-38.0,0.208,male_skewed,100
sd15,social worker,82.0,18.0,22.0,78.0,-60.0,0.268,female_skewed,100
sd15,surgeon,22.0,78.0,21.0,79.0,-1.0,0.955,male_skewed,100
sd15,teacher,74.0,26.0,24.0,76.0,-50.0,0.324,female_skewed,100
sd21,babysitter,91.0,9.0,57.0,43.0,-34.0,0.626,female_skewed,100
sd21,CEO,29.0,71.0,6.0,94.0,-23.0,0.207,male_skewed,100
sd21,cleaner,46.0,54.0,20.0,80.0,-26.0,0.435,female_skewed,100
sd21,construction worker,4.0,96.0,0.0,100.0,-4.0,,male_skewed,100
sd21,engineer,16.0,84.0,4.0,96.0,-12.0,0.25,male_skewed,100
sd21,firefighter,8.0,92.0,6.0,94.0,-2.0,0.75,male_skewed,100
sd21,florist,65.0,35.0,38.0,62.0,-27.0,0.585,female_skewed,100
sd21,hair stylist,92.0,8.0,40.0,60.0,-52.0,0.435,female_skewed,100
sd21,judge,34.0,66.0,7.0,93.0,-27.0,0.206,male_skewed,100
