model,occupation,prompt_idx,image_file,image_path,dominant_gender,gender_man_pct,gender_woman_pct,dominant_race,race_white_pct,race_black_pct,race_asian_pct,race_latino_pct,race_indian_pct,race_middle_eastern_pct,face_detected
sd15,babysitter,1,img_001.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_001.png,Man,56.62402,43.375984,asian,21.099699,1.9093448,34.42465,8.114099,12.600891,21.851318,True
sd15,babysitter,1,img_002.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_002.png,Man,86.291565,13.708443,white,35.308086,7.8064384,15.614981,16.360481,3.4962966,21.41372,True
sd15,babysitter,1,img_003.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_003.png,Man,57.684906,42.315094,asian,16.839659,13.262071,42.677578,16.350487,5.7986255,5.0715885,True
sd15,babysitter,1,img_004.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_004.png,Man,88.35071,11.6493,white,83.25025,0.06117412,1.3578355,7.7150917,0.40106434,7.214586,True
sd15,babysitter,1,img_005.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_005.png,Woman,1.2079917,98.79201,white,89.453094,0.0039646486,0.035149332,3.3070755,0.14129683,7.059417,True
sd15,babysitter,1,img_006.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_006.png,Man,87.93986,12.060139,white,79.066154,0.093726166,3.8904653,9.494666,0.45473337,7.000253,True
sd15,babysitter,1,img_007.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_007.png,Woman,0.3810861,99.61892,white,51.70983,0.8589221,8.42688,23.769848,2.2162228,13.018295,True
sd15,babysitter,1,img_008.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_008.png,Man,59.09279,40.90721,white,93.91,0.0011315026,0.30429244,4.9411964,0.008762236,0.83461523,True
sd15,babysitter,1,img_009.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_009.png,Man,97.67246,2.327535,white,44.638657,5.6781707,2.718352,24.141798,4.1897483,18.633272,True
sd15,babysitter,1,img_010.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_010.png,Man,97.95917,2.0408337,white,98.894775,9.094708e-07,0.0004464634,0.31992576,0.00016822756,0.78468055,True
sd15,babysitter,1,img_011.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_011.png,Woman,0.012001992,99.988,white,97.46876,1.5184355e-05,0.0004418797,1.8830035,0.0012835647,0.6464885,True
sd15,babysitter,1,img_012.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_012.png,Woman,4.6448474,95.35515,white,96.12758,0.0013992395,0.13779467,2.1227968,0.023099996,1.5873337,True
sd15,babysitter,1,img_013.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_013.png,Man,94.26866,5.731345,asian,9.647086,0.026800748,88.14347,1.77499,0.14922005,0.2584404,True
sd15,babysitter,1,img_014.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_014.png,Woman,45.504684,54.49531,latino hispanic,21.523977,4.011651,11.709774,40.74807,9.061355,12.945169,True
sd15,babysitter,1,img_015.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_015.png,Man,96.69175,3.3082452,white,46.7106,0.058333516,43.858887,7.280059,0.24652392,1.8455994,True
sd15,babysitter,1,img_016.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_016.png,Man,90.469734,9.530262,white,99.99592,5.659475e-09,2.0065943e-06,0.0020627552,4.837756e-07,0.0020221346,True
sd15,babysitter,1,img_017.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_017.png,Man,85.349655,14.650339,asian,4.4164324,4.114623,66.02977,21.169842,3.5555205,0.71382403,True
sd15,babysitter,1,img_018.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_018.png,Man,67.1345,32.8655,white,36.14397,1.1667324,17.756874,31.21058,3.6479597,10.073885,True
sd15,babysitter,1,img_019.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_019.png,Man,50.031654,49.96834,white,99.99992,1.3059682e-12,1.2082623e-06,6.146526e-05,1.6328029e-10,1.9260317e-05,True
sd15,babysitter,1,img_020.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_1\img_020.png,Man,98.27251,1.7274883,white,35.327053,0.3142742,33.050175,27.177608,0.91329926,3.217595,True
sd15,babysitter,2,img_001.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_001.png,Man,82.02339,17.9766,white,96.46839,9.034066e-06,3.4730275,0.048897635,8.9745445e-05,0.0095832925,True
sd15,babysitter,2,img_002.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_002.png,Woman,0.00012202529,99.99988,white,99.99944,1.0664431e-14,1.1284556e-09,0.00019557215,2.0885955e-10,0.0003647923,True
sd15,babysitter,2,img_003.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_003.png,Man,91.30562,8.694378,black,0.12504323,99.00412,0.051156066,0.21467602,0.03465553,0.57034993,True
sd15,babysitter,2,img_004.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_004.png,Woman,0.0011230311,99.99888,white,66.27089,0.045453213,19.536888,11.183896,0.29592443,2.6669476,True
sd15,babysitter,2,img_005.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_005.png,Man,91.402855,8.5971365,white,69.39644,0.100543864,16.801428,10.2432785,0.49532312,2.9629922,True
sd15,babysitter,2,img_006.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_006.png,Man,68.6126,31.387394,white,57.500496,1.5575897,15.046838,11.355275,3.7426622,10.797137,True
sd15,babysitter,2,img_007.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_007.png,Woman,0.005004407,99.994995,white,99.998924,3.886622e-14,4.0366464e-11,0.0006002264,9.124005e-11,0.00047093173,True
sd15,babysitter,2,img_008.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_008.png,Man,69.76448,30.235523,white,59.00304,0.0829707,29.084303,5.2194963,0.7956595,5.8145328,True
sd15,babysitter,2,img_009.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_009.png,Man,96.2411,3.7589018,white,78.26635,0.08728752,1.3437073,9.198555,0.2944901,10.8096075,True
sd15,babysitter,2,img_010.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_010.png,Woman,22.592985,77.40702,white,34.76256,1.5339627,3.0026917,24.381927,7.8885713,28.430288,True
sd15,babysitter,2,img_011.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_011.png,Man,50.90394,49.096058,middle eastern,24.77498,12.346276,5.9453006,20.504267,10.982311,25.446869,True
sd15,babysitter,2,img_012.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_012.png,Woman,15.789874,84.21013,asian,8.383146,6.484474,30.37804,25.657589,23.975613,5.1211414,True
sd15,babysitter,2,img_013.png,C:\Users\User\Documents\occupational_bias\images\sd15\babysitter\prompt_2\img_013.png,Man,85.76067,14.23932,white,97.59597,2.7864628e-05,0.004002608,1.2203325,0.002818446,1.1768492,True
