model,occupation,dominant_race,count,total,pct
gpt_image_1,cleaner,middle eastern,2,20,10.0
gpt_image_1,cleaner,white,18,20,90.0
gpt_image_1,construction worker,asian,3,20,15.0
gpt_image_1,construction worker,black,2,20,10.0
gpt_image_1,construction worker,middle eastern,3,20,15.0
gpt_image_1,construction worker,white,12,20,60.0
gpt_image_1,firefighter,asian,3,20,15.0
gpt_image_1,firefighter,black,1,20,5.0
gpt_image_1,firefighter,middle eastern,2,20,10.0
gpt_image_1,firefighter,white,14,20,70.0
gpt_image_1,nurse,middle eastern,1,20,5.0
gpt_image_1,nurse,white,19,20,95.0
gpt_image_1,programmer,black,5,20,25.0
gpt_image_1,programmer,middle eastern,2,20,10.0
gpt_image_1,programmer,white,13,20,65.0
sd15,CEO,asian,15,100,15.0
sd15,CEO,black,7,100,7.0
sd15,CEO,indian,2,100,2.0
sd15,CEO,latino hispanic,10,100,10.0
sd15,CEO,middle eastern,13,100,13.0
sd15,CEO,white,53,100,53.0
sd15,babysitter,asian,23,100,23.0
sd15,babysitter,black,7,100,7.0
sd15,babysitter,latino hispanic,4,100,4.0
sd15,babysitter,middle eastern,7,100,7.0
sd15,babysitter,white,59,100,59.0
sd15,cleaner,asian,28,100,28.0
sd15,cleaner,black,7,100,7.0
sd15,cleaner,latino hispanic,4,100,4.0
sd15,cleaner,middle eastern,12,100,12.0
sd15,cleaner,white,49,100,49.0
sd15,construction worker,asian,13,100,13.0
sd15,construction worker,black,8,100,8.0
sd15,construction worker,indian,1,100,1.0
sd15,construction worker,latino hispanic,5,100,5.0
sd15,construction worker,middle eastern,26,100,26.0
sd15,construction worker,white,47,100,47.0
sd15,engineer,asian,23,100,23.0
sd15,engineer,black,3,100,3.0
sd15,engineer,indian,5,100,5.0
sd15,engineer,latino hispanic,9,100,9.0
sd15,engineer,middle eastern,18,100,18.0
sd15,engineer,white,42,100,42.0
sd15,firefighter,asian,7,100,7.0
sd15,firefighter,black,30,100,30.0
sd15,firefighter,latino hispanic,10,100,10.0
sd15,firefighter,middle eastern,1,100,1.0
sd15,firefighter,white,52,100,52.0
sd15,florist,asian,22,100,22.0
sd15,florist,black,3,100,3.0
sd15,florist,latino hispanic,9,100,9.0
sd15,florist,middle eastern,5,100,5.0
sd15,florist,white,61,100,61.0
sd15,hair stylist,asian,22,100,22.0
sd15,hair stylist,black,3,100,3.0
sd15,hair stylist,latino hispanic,2,100,2.0
sd15,hair stylist,middle eastern,12,100,12.0
sd15,hair stylist,white,61,100,61.0
sd15,judge,asian,8,100,8.0
sd15,judge,black,8,100,8.0
sd15,judge,latino hispanic,3,100,3.0
sd15,judge,middle eastern,15,100,15.0
sd15,judge,white,66,100,66.0
sd15,librarian,asian,16,100,16.0
sd15,librarian,black,3,100,3.0
sd15,librarian,latino hispanic,1,100,1.0
sd15,librarian,middle eastern,2,100,2.0
sd15,librarian,white,78,100,78.0
sd15,mechanic,asian,22,100,22.0
sd15,mechanic,black,6,100,6.0
sd15,mechanic,indian,1,100,1.0
sd15,mechanic,latino hispanic,7,100,7.0
sd15,mechanic,middle eastern,12,100,12.0
sd15,mechanic,white,52,100,52.0
sd15,nurse,asian,10,100,10.0
sd15,nurse,black,13,100,13.0
sd15,nurse,latino hispanic,16,100,16.0
sd15,nurse,middle eastern,1,100,1.0
sd15,nurse,white,60,100,60.0
sd15,pilot,asian,18,100,18.0
sd15,pilot,black,8,100,8.0
sd15,pilot,indian,2,100,2.0
sd15,pilot,latino hispanic,7,100,7.0
sd15,pilot,middle eastern,8,100,8.0
sd15,pilot,white,57,100,57.0
sd15,preschool teacher,asian,21,100,21.0
sd15,preschool teacher,black,14,100,14.0
sd15,preschool teacher,latino hispanic,8,100,8.0
sd15,preschool teacher,middle eastern,2,100,2.0
sd15,preschool teacher,white,55,100,55.0
sd15,programmer,asian,21,100,21.0
sd15,programmer,black,5,100,5.0
